.threshold,specificity,sensitivity
0.0011368179377792462,0.002403577417551705,1
0.0011673644906490621,0.0024594745667970933,1
0.0011747473293205475,0.002515371716042482,1
0.0011891332917671484,0.0025712688652878703,1
0.0011903133610393077,0.002627166014533259,1
0.001191188077414,0.002683063163778647,1
0.001194357193240471,0.002738960313024036,1
0.0012081697087490094,0.002794857462269424,1
0.0012543733464325231,0.002850754611514813,1
0.0012612001700666722,0.002906651760760201,1
0.0012623945028039062,0.0029625489100055897,1
0.0012848201261876813,0.0030184460592509784,1
0.0012944179595349079,0.0030743432084963667,1
0.0012969906273141445,0.0031302403577417553,1
0.001300885312017702,0.0031861375069871436,1
0.0013055094141013746,0.0032420346562325323,1
0.0013264466884204357,0.0032979318054779205,1
0.0013300811357668692,0.003353828954723309,1
0.0013353940052559822,0.0034097261039686974,1
0.0013372953692273402,0.003465623253214086,1
0.0013415258342123041,0.0035215204024594744,1
0.0013485401863157595,0.003577417551704863,1
0.001355557548723654,0.0036333147009502517,1
0.0013601566686098575,0.00368921185019564,1
0.001368767474694651,0.0037451089994410287,1
0.0013744545176928578,0.003801006148686417,1
0.0013851568520679247,0.0038569032979318056,1
0.0013873234084797344,0.003912800447177194,1
0.0013877931217385598,0.0039686975964225825,1
0.0013937418839575126,0.004024594745667971,1
0.0013984994969777828,0.004080491894913359,1
0.0013996705196040154,0.004136389044158748,1
0.001411578187391447,0.004192286193404136,1
0.0014120750941559962,0.004248183342649525,1
0.0014173102335529064,0.004304080491894914,1
0.0014410597089629734,0.0043599776411403016,1
0.0014494419387663857,0.00441587479038569,1
0.0014494863685595445,0.004471771939631079,1
0.0014557821814015443,0.004527669088876468,1
0.0014709610897942797,0.004583566238121855,1
0.0014838127028221277,0.004639463387367244,1
0.001508148212010784,0.004695360536612633,1
0.0015172405810249393,0.0047512576858580215,1
0.0015184443086041065,0.00480715483510341,1
0.0015293891479447757,0.004918949133594187,1
0.0015331063430650427,0.004974846282839575,1
0.0015346570233904086,0.004974846282839575,0.9996084573218481
0.0015360514463329947,0.005030743432084964,0.9996084573218481
0.0015435360050546597,0.005086640581330352,0.9996084573218481
0.0015576991185297488,0.0051425377305757405,0.9996084573218481
0.0015612689970082598,0.005198434879821129,0.9996084573218481
0.0015788326956659082,0.005254332029066518,0.9996084573218481
0.0016137798650369165,0.005310229178311906,0.9996084573218481
0.0016430102098860281,0.005366126327557294,0.9996084573218481
0.0016446696503893288,0.005422023476802683,0.9996084573218481
0.0016530056944097332,0.005477920626048072,0.9996084573218481
0.0016588382938567709,0.00553381777529346,0.9996084573218481
0.0016776522777498767,0.005589714924538848,0.9996084573218481
0.0016834952179407207,0.005645612073784237,0.9996084573218481
0.0016851104458532541,0.005701509223029626,0.9996084573218481
0.0016998660209132299,0.005757406372275014,0.9996084573218481
0.0017015247536075865,0.005813303521520402,0.9996084573218481
0.0017046526116848227,0.005869200670765791,0.9996084573218481
0.0017081421753949453,0.0059250978200111794,0.9996084573218481
0.001718765353301308,0.005980994969256568,0.9996084573218481
0.0017210349055987494,0.006036892118501957,0.9996084573218481
0.0017266303480946476,0.006092789267747345,0.9996084573218481
0.0017294882733466688,0.006148686416992733,0.9996084573218481
0.001736048308291161,0.006204583566238122,0.9996084573218481
0.0017404090403170753,0.006260480715483511,0.9996084573218481
0.0017471462481872936,0.0063163778647288985,0.9996084573218481
0.0017605669692810828,0.006372275013974287,0.9996084573218481
0.001767275739095429,0.006428172163219676,0.9996084573218481
0.0017773042934797047,0.0064840693124650645,0.9996084573218481
0.001782686176218413,0.006539966461710452,0.9996084573218481
0.0017957865527170379,0.006595863610955841,0.9996084573218481
0.0018007292737144884,0.00665176076020123,0.9996084573218481
0.0018071418388562275,0.006707657909446618,0.9996084573218481
0.001820594214908788,0.006763555058692007,0.9996084573218481
0.0018337003164002597,0.006819452207937395,0.9996084573218481
