.threshold,specificity,sensitivity
-Inf,0,1
0.2689438596427331,0,1
0.26894394871672694,5.5897149245388485e-5,1
0.2689443848043431,1.1179429849077697e-4,1
0.26894700024125895,1.6769144773616545e-4,1
0.26894704398173114,2.2358859698155394e-4,1
0.26895268030865005,2.7948574622694243e-4,1
0.2689554933735683,3.353828954723309e-4,1
0.26910173619904637,3.912800447177194e-4,1
0.26911440717600993,4.471771939631079e-4,1
0.2691697488737563,5.030743432084964e-4,1
0.2692289498876806,5.589714924538849e-4,1
0.26922895741129294,6.148686416992733e-4,1
0.26922895819198117,6.707657909446618e-4,1
0.2692593873735249,7.266629401900503e-4,1
0.26929880319608956,7.825600894354388e-4,1
0.26930769256023396,7.825600894354388e-4,0.9996084573218481
0.2693521072369704,8.384572386808273e-4,0.9996084573218481
0.2693647363080952,8.943543879262158e-4,0.9996084573218481
0.2693686483578427,9.502515371716042e-4,0.9996084573218481
0.2693945416793147,0.0010061486864169928,0.9996084573218481
0.26943956621663606,0.0010620458356623813,0.9996084573218481
0.2694598638827469,0.0011179429849077697,0.9996084573218481
0.26946981998629665,0.0011738401341531582,0.9996084573218481
0.2695658178410504,0.0012297372833985467,0.9996084573218481
0.2696341957523214,0.0012856344326439351,0.9996084573218481
0.26964995253534724,0.0013415315818893236,0.9996084573218481
0.26969407775390264,0.001397428731134712,0.9996084573218481
0.2698307626830535,0.0014533258803801005,0.9996084573218481
0.2698413544035619,0.0015092230296254892,0.9996084573218481
0.26986836088823013,0.0015651201788708777,0.9996084573218481
0.26995172339178625,0.0016210173281162661,0.9996084573218481
0.2700378018576157,0.0016769144773616546,0.9996084573218481
0.2700549019591188,0.001732811626607043,0.9996084573218481
0.27006973851616517,0.0017887087758524315,0.9996084573218481
0.270090230021021,0.00184460592509782,0.9996084573218481
0.27009023253110576,0.0019005030743432085,0.9996084573218481
0.27009023599875764,0.001956400223588597,0.9996084573218481
0.2700902360244172,0.0020122973728339856,0.9996084573218481
0.27009023676417626,0.002068194522079374,0.9996084573218481
0.2700902467737422,0.0021240916713247625,0.9996084573218481
0.27009025923426494,0.0021799888205701508,0.9996084573218481
0.27009028126880236,0.0022358859698155395,0.9996084573218481
0.2700902816356391,0.0022917831190609277,0.9996084573218481
0.27009029968434484,0.0023476802683063164,0.9996084573218481
0.27009031764588987,0.002403577417551705,0.9996084573218481
0.27009032283308737,0.0024594745667970933,0.9996084573218481
0.27009032375330755,0.002515371716042482,0.9996084573218481
0.2700903251497632,0.0025712688652878703,0.9996084573218481
0.27009032677113914,0.002627166014533259,0.9996084573218481
0.2700903282564991,0.002683063163778647,0.9996084573218481
0.2700903313451852,0.002738960313024036,0.9996084573218481
0.2702687734831106,0.0032420346562325323,0.9996084573218481
0.27035514211504763,0.0032979318054779205,0.9996084573218481
0.2703999563059323,0.003353828954723309,0.9996084573218481
0.2704256618306563,0.0034097261039686974,0.9996084573218481
0.27047840358841096,0.003465623253214086,0.9996084573218481
0.27048691955621373,0.0035215204024594744,0.9996084573218481
0.2704873048345821,0.003577417551704863,0.9996084573218481
0.2705791485633169,0.0036333147009502517,0.9996084573218481
0.2706038178381242,0.00368921185019564,0.9996084573218481
0.27064587515464605,0.0037451089994410287,0.9996084573218481
0.2707082091385939,0.003801006148686417,0.9996084573218481
0.27076423924199483,0.0038569032979318056,0.9996084573218481
0.2708161356814333,0.003912800447177194,0.9996084573218481
0.27085976921754756,0.0039686975964225825,0.9996084573218481
0.2709183478025052,0.004024594745667971,0.9996084573218481
0.2709339307947481,0.004136389044158748,0.9996084573218481
0.2709792142155186,0.004192286193404136,0.9996084573218481
0.27101030253322833,0.004192286193404136,0.9992169146436961
0.2710134024393975,0.004248183342649525,0.9992169146436961
0.2710318693749892,0.004304080491894914,0.9992169146436961
0.27103962606814286,0.0043599776411403016,0.9992169146436961
0.27105917887161923,0.00441587479038569,0.9992169146436961
0.27109241322870803,0.004471771939631079,0.9992169146436961
0.2710935899177358,0.004527669088876468,0.9992169146436961
0.2711118356167047,0.004583566238121855,0.9992169146436961
0.2711576895921233,0.004639463387367244,0.9992169146436961
0.2711577072546767,0.004695360536612633,0.9992169146436961
0.2711914971739598,0.0047512576858580215,0.9992169146436961
0.27120293325381456,0.00480715483510341,0.9992169146436961
0.27123351995499895,0.004863051984348798,0.9992169146436961
0.27127900147071393,0.004918949133594187,0.9992169146436961
