trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.metric,.estimator,mean,n,std_err,.config
820,9,4,0.02429855357864957,6.544622087512878e-10,0.8771210037895943,roc_auc,binary,0.8313086313904438,10,0.0068486320768659965,Preprocessor1_Model020
1482,19,12,0.01984445416892001,3.097187888925657e-10,0.7792391636767424,roc_auc,binary,0.8290962729211193,10,0.007237479928039321,Preprocessor1_Model046
1090,6,6,0.006534482643916836,0.29474322651674617,0.8408210834104102,roc_auc,binary,0.8279165017932608,10,0.006713987906715038,Preprocessor1_Model012
1055,10,4,0.03242742549171416,0.13516737325161404,0.3555549392523244,roc_auc,binary,0.826791255345427,10,0.007195635714431643,Preprocessor1_Model022
362,16,10,0.08309057472418177,3.2954692878077095e-9,0.28886194044700825,roc_auc,binary,0.8248107065379341,10,0.007526415988970733,Preprocessor1_Model037
