neighbors,weight_func,dist_power,.metric,.estimator,mean,n,std_err,.config
15,triangular,0.44318541235513187,roc_auc,binary,0.7299757919107261,10,0.005450445384358845,Preprocessor1_Model083
15,rectangular,0.7930255657716927,roc_auc,binary,0.72905198931176,10,0.00605657496185266,Preprocessor1_Model071
14,optimal,0.4043035878476562,roc_auc,binary,0.7287746426254915,10,0.00545680567023018,Preprocessor1_Model053
14,optimal,0.3985353121555748,roc_auc,binary,0.7287701147674569,10,0.0054997712859363975,Preprocessor1_Model052
14,rank,1.6758350351414846,roc_auc,binary,0.7275124537856865,10,0.004512258953728956,Preprocessor1_Model069
