hidden_units,penalty,epochs,.metric,.estimator,mean,n,std_err,.config
10,1.3546555378206087e-10,371,roc_auc,binary,0.7721833966195184,10,0.009636484532268766,Preprocessor1_Model074
9,8.103098533664854e-8,513,roc_auc,binary,0.7691453501488468,10,0.005186970121234212,Preprocessor1_Model052
9,1.3025187625646532e-9,932,roc_auc,binary,0.7688771260402905,10,0.0066821629250622145,Preprocessor1_Model025
10,1.480624459586827e-4,123,roc_auc,binary,0.7685454688440856,10,0.00530546726484396,Preprocessor1_Model007
7,0.0014456976257742797,832,roc_auc,binary,0.768301147313675,10,0.004987654497480377,Preprocessor1_Model062
