.threshold,specificity,sensitivity
-Inf,0,1
0.0029934048652648926,0,1
0.003201425075531006,5.5897149245388485e-5,1
0.003293931484222412,1.1179429849077697e-4,1
0.0034325122833251953,1.6769144773616545e-4,1
0.0037227272987365723,2.2358859698155394e-4,1
0.0038140416145324707,2.7948574622694243e-4,1
0.003839850425720215,3.353828954723309e-4,1
0.004038035869598389,3.912800447177194e-4,1
0.0040724873542785645,4.471771939631079e-4,1
0.0041738152503967285,5.030743432084964e-4,1
0.004184901714324951,5.589714924538849e-4,1
0.004231691360473633,6.148686416992733e-4,1
0.004233360290527344,6.707657909446618e-4,1
0.00431668758392334,7.266629401900503e-4,1
0.004337489604949951,7.825600894354388e-4,1
0.0043749213218688965,8.384572386808273e-4,1
0.004388391971588135,8.943543879262158e-4,1
0.004452228546142578,9.502515371716042e-4,1
0.004570126533508301,0.0010061486864169928,1
0.004641473293304443,0.0010620458356623813,1
0.004651963710784912,0.0011179429849077697,1
0.004661202430725098,0.0011738401341531582,1
0.0047702789306640625,0.0012297372833985467,1
0.004778802394866943,0.0012856344326439351,1
0.004791557788848877,0.0013415315818893236,1
0.00483936071395874,0.001397428731134712,1
0.004869937896728516,0.0014533258803801005,1
0.004892468452453613,0.0015092230296254892,1
0.00491100549697876,0.0015651201788708777,1
0.004937112331390381,0.0016210173281162661,1
0.005014300346374512,0.0016769144773616546,1
0.005038857460021973,0.001732811626607043,1
0.005067408084869385,0.0017887087758524315,1
0.0050868988037109375,0.00184460592509782,1
0.005091607570648193,0.0019005030743432085,1
0.005094647407531738,0.001956400223588597,1
0.005098104476928711,0.0020122973728339856,1
0.00510174036026001,0.002068194522079374,1
0.00512850284576416,0.0021240916713247625,1
0.005157053470611572,0.0021799888205701508,1
0.005163908004760742,0.0022358859698155395,1
0.00518423318862915,0.0022917831190609277,1
0.0052168965339660645,0.0023476802683063164,1
0.005227386951446533,0.002403577417551705,1
0.005295932292938232,0.0024594745667970933,1
0.0053084492683410645,0.002515371716042482,1
0.005401968955993652,0.0025712688652878703,1
0.005448400974273682,0.002627166014533259,1
